imagesPath,annotationPath
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers0.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers0.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers10.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers10.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers100.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers100.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1000.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1000.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1001.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1001.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1002.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1002.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1003.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1003.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1004.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1004.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1005.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1005.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1006.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1006.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1007.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1007.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1008.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1008.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1009.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1009.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers101.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers101.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1010.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1010.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1011.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1011.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1012.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1012.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1013.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1013.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1014.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1014.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1015.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1015.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1016.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1016.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1017.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1017.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1018.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1018.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1019.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1019.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers102.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers102.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1020.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1020.xml
/content/drive/MyDrive/HardHatDetection/obj/hard_hat_workers1021.png,/content/drive/MyDrive/HardHatDetection/annotations/hard_hat_workers1021.xml
